source	reading	korean	category	evidence	confidence	notes
プラグイン	プラグイン	플러그인	game_term	00/394:7	high	PET에서 전자 기기로 내비를 전송하는 접속 행위
デリート	デリート	딜리트	game_term	00/394:7	high	바이러스나 내비를 삭제하는 행위
ライセンス	ライセンス	라이선스	license_term	00/394:8	high	오피셜 센터가 발급하는 자격증
デンサンガス	デンサンガス	덴산 가스	organization	00/394:9	high	가스 공사를 담당하는 회사
あやのこうじさん	あやのこうじさん	아야노코지 씨	character_reference	00/394:9	high	야이토의 가문을 성으로 부르는 호칭
きょうかプログラム	きょうかプログラム	강화 프로그램	game_term	00/394:54	high	내비 능력치를 높이는 장착 프로그램의 총칭
レギュラーチップ	レギュラーチップ	레귤러 칩	game_term	00/394:37	high	커스텀 화면에 항상 등장하도록 지정한 칩
パネルアウト1	パネルアウトワン	패널아웃1	chip_name	00/394:37	high	숫자 접미사를 붙여 쓰는 배틀칩 이름
ネットショウニン	ネットしょうにん	넷 상인	role	00/394:54	high	전뇌 세계에서 상품을 파는 상인
ネットマフィア	ネットマフィア	넷 마피아	organization	00/394:50	high	네트워크 범죄 조직의 일반 명칭
メルとも	メルとも	메일 친구	relationship_term	00/394:78	high	메일을 주고받으며 사귄 친구
レギュラーメモリ	レギュラーメモリ	레귤러 메모리	game_term	00/394:102	high	레귤러 칩으로 지정할 수 있는 칩 용량
プラグアウト	プラグアウト	플러그아웃	game_term	00/394:137	high	내비를 전뇌 세계에서 PET로 귀환시키는 행위
オフィシャルナビ	オフィシャルナビ	오피셜 내비	role	00/394:127	high	오피셜 소속 내비
PETのじゅうでんでんち	PETのじゅうでんでんち	PET 충전지	item_name	00/394:139	high	산속에서 사용할 PET용 충전 배터리
日暮	ひぐれ	히구레	character_name	00/394:153	high	전 점장으로 언급되는 인물명
サブチップ	サブチップ	서브칩	game_term	00/394:180	high	필드에서 사용하는 보조 소비 아이템
ボスナビ	ボスナビ	보스 내비	navi_class	00/395:100	high	보스급 넷내비를 가리키는 총칭
あきはらえき	あきはらえき	아키하라역	location	00/396:0	high	메트로라인의 아키하라 마을 역
ゆういちろうさん	ゆういちろうさん	유이치로 씨	character_reference	00/397:44	high	넷토의 어머니가 남편을 부르는 호칭
それいけ! ボーンいっか!	それいけ! ボーンいっか!	출동! 본 일가!	fictional_title	00/400:220	high	인게임 인기 애니메이션 제목
コブン	コブン	코분	mascot_name	00/400:220	high	본 일가 애니메이션의 마스코트 캐릭터
ロケットガッツパンチ	ロケットガッツパンチ	로켓 거츠 펀치	special_move	00/401:7	high	거츠맨의 새 필살기 프로그램
グライド	グライド	글라이드	navi_name	00/402:20	high	야이토의 넷내비 이름
データ	データ	데이터	mascot_name	00/402:220	high	코분의 라이벌 캐릭터를 가리키는 문맥에만 적용
メルポポスぶんめい	メルポポスぶんめい	멜포포스 문명	fictional_civilization	00/402:226	high	야이토의 방에 있는 고대 신상 설정
アフタヌーンバス	アフタヌーンバス	애프터눈 배스	wordplay	00/404:27	high	영어 bath와 일본어 버스의 동음 말장난
